[ 12.4 min] growth: ticks 120000, loci 883, relations 3296, mean degree 7.47, births 880 (failed 11120), pulls accepted 2413, rewires accepted 837, exact LPs 78567, curvature 1173 s (158% of wall)
[ 12.6 min] growth: ticks 122000, loci 895, relations 3340, mean degree 7.46, births 892 (failed 11308), pulls accepted 2445, rewires accepted 849, exact LPs 80180, curvature 1192 s (158% of wall)
[ 12.8 min] growth: ticks 124000, loci 904, relations 3374, mean degree 7.46, births 901 (failed 11499), pulls accepted 2470, rewires accepted 856, exact LPs 81771, curvature 1211 s (158% of wall)
[ 13.0 min] growth: ticks 126000, loci 925, relations 3459, mean degree 7.48, births 922 (failed 11678), pulls accepted 2534, rewires accepted 864, exact LPs 83329, curvature 1230 s (158% of wall)
[ 13.2 min] growth: ticks 128000, loci 934, relations 3476, mean degree 7.44, births 931 (failed 11869), pulls accepted 2542, rewires accepted 871, exact LPs 84848, curvature 1248 s (158% of wall)
[ 13.4 min] growth: ticks 130000, loci 946, relations 3501, mean degree 7.40, births 943 (failed 12057), pulls accepted 2555, rewires accepted 883, exact LPs 86491, curvature 1267 s (158% of wall)
[ 13.6 min] growth: ticks 132000, loci 952, relations 3519, mean degree 7.39, births 949 (failed 12251), pulls accepted 2567, rewires accepted 891, exact LPs 88095, curvature 1286 s (158% of wall)
[ 13.8 min] growth: ticks 134000, loci 962, relations 3539, mean degree 7.36, births 959 (failed 12441), pulls accepted 2577, rewires accepted 898, exact LPs 89645, curvature 1304 s (158% of wall)
[ 14.0 min] growth: ticks 136000, loci 970, relations 3577, mean degree 7.38, births 967 (failed 12633), pulls accepted 2607, rewires accepted 907, exact LPs 91128, curvature 1322 s (158% of wall)
[ 14.2 min] growth: ticks 138000, loci 980, relations 3600, mean degree 7.35, births 977 (failed 12823), pulls accepted 2620, rewires accepted 912, exact LPs 92612, curvature 1340 s (158% of wall)
