2026-09-15 18:34:21 start: 456 jobs, largest 16000
12:03:22 strong-sync done 31/54 (1.66 h): control_K30_c2_k12_kapnone_N4000_s2.json
12:08:41 strong-sync done 32/54 (1.75 h): constrained_K30_c2_k12_kap-0.2_N4000_s0.json
12:10:26 strong-sync done 33/54 (1.78 h): control_K30_c0.5_k8_kapnone_N4000_s0.json
12:15:42 strong-sync done 34/54 (1.87 h): constrained_K30_c2_k12_kap-0.2_N4000_s1.json
12:17:06 strong-sync done 35/54 (1.89 h): constrained_K30_c2_k12_kap-0.2_N4000_s2.json
12:18:16 strong-sync done 36/54 (1.91 h): control_K30_c0.5_k8_kapnone_N4000_s1.json
12:18:33 strong-sync done 37/54 (1.91 h): constrained_K30_c1_k12_kap-0.2_N4000_s0.json
12:25:14 strong-sync done 38/54 (2.02 h): control_K30_c0.5_k8_kapnone_N4000_s2.json
12:27:25 strong-sync done 39/54 (2.06 h): control_K30_c1_k8_kapnone_N4000_s0.json
12:34:22 strong-sync done 40/54 (2.18 h): control_K30_c1_k8_kapnone_N4000_s1.json
12:40:55 strong-sync done 41/54 (2.29 h): constrained_K30_c0.5_k8_kap-0.2_N4000_s1.json
12:41:41 strong-sync done 42/54 (2.30 h): constrained_K30_c0.5_k8_kap-0.2_N4000_s2.json
12:42:32 strong-sync done 43/54 (2.31 h): constrained_K30_c0.5_k8_kap-0.2_N4000_s0.json
12:43:57 strong-sync done 44/54 (2.34 h): control_K30_c1_k8_kapnone_N4000_s2.json
12:47:22 strong-sync done 45/54 (2.39 h): control_K30_c2_k8_kapnone_N4000_s0.json
12:49:53 strong-sync done 46/54 (2.43 h): control_K30_c2_k8_kapnone_N4000_s1.json
12:54:15 strong-sync done 47/54 (2.51 h): constrained_K30_c1_k8_kap-0.2_N4000_s1.json
12:56:09 strong-sync done 48/54 (2.54 h): control_K30_c2_k8_kapnone_N4000_s2.json
13:00:58 strong-sync done 49/54 (2.62 h): constrained_K30_c1_k12_kap-0.2_N4000_s1.json
13:02:39 strong-sync done 50/54 (2.65 h): constrained_K30_c1_k8_kap-0.2_N4000_s0.json
13:04:59 strong-sync done 51/54 (2.69 h): constrained_K30_c2_k8_kap-0.2_N4000_s0.json
13:07:02 strong-sync done 52/54 (2.72 h): constrained_K30_c2_k8_kap-0.2_N4000_s2.json
13:07:15 strong-sync done 53/54 (2.72 h): constrained_K30_c2_k8_kap-0.2_N4000_s1.json
13:09:25 strong-sync done 54/54 (2.76 h): constrained_K30_c1_k8_kap-0.2_N4000_s2.json
2026-09-16 13:09:25 strong-sync plan: all 54 jobs present
